0,1,2,3,4,5,6,7,8
334.30498835404825,334.30094457565116,334.2903079972817,334.2752401307793,334.2568784120501,334.23595862370746,334.2130032994034,334.18840411479454,334.16247016178255
334.31314416062384,334.30687212782755,334.29539305770345,334.27990157992997,334.26129213094606,334.2402192541441,334.2171686625243,334.1925065424563,334.1665106410002
334.3317831790177,334.32309099465374,334.3100820524006,334.2936019654249,334.27433980793757,334.2528366178584,334.2295132197389,334.204697293819,334.17864516343695
334.35939205558583,334.3482211823807,334.33343302925226,334.31568947156666,334.2955395059078,334.2734277825391,334.2497106289738,334.22467285454394,334.1985425804194
334.3948801537034,334.3812389812942,334.3645841476748,334.3454536240547,334.3242944385879,334.30147339795195,334.2772894174259,334.2519855703409,334.2257597901794
334.4373681803328,334.4212957161513,334.40275727982424,334.38219366064396,334.3599706292779,334.33638998802866,334.31169994596814,334.28610450198414,334.25977158985523
334.48609148666355,334.46764125946066,334.44723617216187,334.4252336437528,334.40192985745983,334.3775698187802,334.3523560368053,334.3264559936686,334.30000847706646
334.54035420582073,334.51958699412035,334.4973494517314,334.47392367496127,334.4495432922877,334.4244018208026,334.39865963326247,334.37244979787266,334.3458829531362
334.59950635609897,334.57648671220613,334.5524600217946,334.52763830824756,334.5021972549694,334.4762825140267,334.4500149225093,334.4234948388818,334.3968057437218
334.66293192233,334.63772642440574,334.61195883371266,334.58577491822115,334.55929573393365,334.53262173697317,334.50583624192495,334.47900832870016,334.45219527658384
334.7300424576772,334.70271879851094,334.67526129299296,334.64775251177196,334.6202615004139,334.5928456522311,334.56555242802045,334.53842089000256,334.5114830413387
334.8002735633333,334.7709000639574,334.7418051812443,334.7130109335472,334.68453658736007,334.656398305257,334.62860916425575,334.6011793674808,334.5741165441462
334.8730829043571,334.84172825041344,334.8110494344596,334.7810103378776,334.75158246407085,334.7227424066973,334.6944702145301,334.6667483293427,334.6395608926012
334.9479490581384,334.9146821554264,334.8824734014761,334.85123082514355,334.82088006015806,334.791359695446,334.76261804037773,334.7346108364662,334.70729961236174
335.0243708190792,334.9892607136666,334.9555763714196,334.92317217614266,334.891929713698,334.86175107511497,334.83255407937344,334.8042688060155,334.7768350374684
335.10186675558754,335.06498258915684,335.0298772524909,334.9963536445262,334.9642510815961,334.9334366287097,334.9037988386959,334.8752431524872,334.8476884663213
335.17997490810103,335.14138589261245,335.10491433682887,335.07031378420413,335.03738303205904,335.00595556879887,334.9758918890289,334.94707380798843,334.9194001902868
335.2582525671305,335.2180279701051,335.18024511532434,335.1446102986214,335.1108835297832,335.0788661545997,335.0483918058646,335.0193196781732,334.9915294542873
335.3362760977834,335.29448523343535,335.2554461224043,335.2188199045532,335.1843295195814,335.1517455932428,335.1208760841763,335.0915585650404,335.06365438220985
