Iteração,Equação Minimizar
0,1287.6902405871788
1,157.9554948505895
2,30.941689408692643
3,10.118204895198595
4,8.770760580755077
5,8.498666537326645
6,8.413196896207586
7,8.364466200542948
8,8.32152073684484
9,8.279204001964521
10,8.237546005145534
11,8.196040666941215
12,8.154805745680585
13,8.11376764550581
14,8.07294873912289
15,8.032339268907819
16,7.991939977047367
17,7.951749631451097
18,7.911767160446868
19,7.871991486294231
20,7.832420070186225
21,7.793056363869358
22,7.753893092096237
23,7.714935528997051
24,7.676176298367683
25,7.637620681560172
26,7.599261316637112
27,7.561103492405416
28,7.5231398610588025
29,7.485375718683837
30,7.447803731497373
31,7.410429202802739
32,7.3732448127043035
33,7.336255871609699
34,7.299455073367611
35,7.262847735462208
36,7.226426565344196
37,7.190196887468613
38,7.154151422714099
39,7.118293924079541
40,7.082621857066314
41,7.047134258045914
42,7.011830171515342
43,6.976708646911369
44,6.941768738641594
45,6.907009505971903
46,6.87243001309066
47,6.838029329013736
48,6.803806527604726
49,6.7697606875230845
50,6.735890892201915
51,6.7021962298284015
52,6.66867579332909
53,6.635328680315098
54,6.602153993117171
55,6.569150838676485
56,6.536318328606887
57,6.503655579083294
58,6.471161710920826
59,6.438835849434774
60,6.40667712455754
61,6.374684670644296
62,6.342857626588084
63,6.311195135744933
64,6.279696345904786
65,6.248360409309612
66,6.21718648253783
67,6.186173726590237
68,6.155321306788513
69,6.1246283928181455
70,6.094094158646058
71,6.06371778252165
72,6.033498446966878
73,6.003435338736843
74,5.973527648811342
75,5.943774572348673
76,5.9141753086994315
77,5.8847290613559995
78,5.8554350379540026
79,5.826292450225587
80,5.797303076479352
81,5.76845718756627
82,5.739768041419573
83,5.711219573181471
84,5.68282630662742
85,5.654572183551555
86,5.626471740515456
87,5.598508922229294
88,5.570698278095433
89,5.543023755633779
90,5.515499917049194
91,5.48811071263255
92,5.460870717217677
93,5.433763883821156
94,5.406804799831208
95,5.379977420939286
96,5.353296346976566
97,5.326745536206651
98,5.300339600838844
99,5.274064873011536
100,5.2479275091159145
101,5.221925121245427
102,5.196057134094651
103,5.170322842450677
104,5.144721554826183
105,5.119252582552035
106,5.093915240613549
107,5.06870884752096
108,5.043632725323845
109,5.018686199585825
110,4.993868599369386
111,4.969179257218117
112,4.944617509121245
113,4.920182694518952
114,4.89587415628378
115,4.87169124068488
116,4.847633297402835
117,4.823699679439597
118,4.79988974320853
119,4.776202848426727
120,4.752638358131806
121,4.729195638668765
122,4.705874059669524
123,4.682672994034419
124,4.659591817912074
125,4.636629910686709
126,4.6137866549484565
127,4.5910614365019855
128,4.568453644327845
129,4.545962670587302
130,4.523587910571699
131,4.501328762722306
132,4.479184628586804
133,4.4571549128297985
134,4.435239023177589
135,4.413436370464289
136,4.39174636852935
137,4.370168434302282
138,4.3487019876979875
139,4.32734645164548
140,4.306101252084671
141,4.284965817896454
142,4.263939580950966
143,4.243021976040784
144,4.222212440905689
145,4.2015104161989685
146,4.18091534545897
147,4.160426675118724
148,4.140043854476284
149,4.119766335685702
150,4.09959357374251
151,4.079525026462319
152,4.059560154480689
153,4.039698421210281
154,4.0199392928684965
155,4.000282238410523
156,3.9807267295721647
157,3.961272240795754
158,3.941918249265528
159,3.9226642348965206
160,3.9035096802591713
161,3.8844526492662483
162,3.865497005208712
163,3.8466362194391768
164,3.8278759148553316
165,3.8092094590732137
166,3.7906424776172325
167,3.772168345658812
168,3.7537926915919377
169,3.7355088980686966
170,3.7173225962921648
171,3.6992271763103393
172,3.6812282721101863
173,3.663319281112425
174,3.645505840023267
175,3.627781353529233
176,3.6101514610424674
177,3.592609574482587
178,3.57516133590651
179,3.5578001643848443
180,3.540531704591491
181,3.523349382702004
182,3.5062588459615354
183,3.4892535275679566
184,3.472339077315382
185,3.4555089353790476
186,3.438767224831647
187,3.4221119765861903
188,3.405542740008532
189,3.3890590700430185
190,3.372660523949742
191,3.3563466612752286
192,3.340117043854841
193,3.3239712357976146
194,3.307908803466399
195,3.291929315463965
196,3.2760323426447036
197,3.2602174580639747
198,3.2444842370171605
199,3.2288322569744166
200,3.213261097600337
201,3.1977703407430194
202,3.1823595704217484
203,3.1670283728067816
204,3.1517763361990925
205,3.1366030510499305
206,3.1215081099237145
207,3.1064911074943686
208,3.0915516405404593
209,3.076689307924466
210,3.0619037105900793
211,3.0471944515457774
212,3.032561135867201
213,3.0180033706559994
214,3.003520765062635
215,2.9891129302701147
216,2.974779479456343
217,2.960520027809267
218,2.9463341925175768
219,2.9322215927367736
220,2.918181849621673
221,2.9042145862684734
222,2.8903194277267703
223,2.8764960010016805
224,2.862743935007156
225,2.8490628606048585
226,2.8354524105493786
227,2.821912219506282
228,2.8084419240387826
229,2.795041162573485
230,2.781709575432737
231,2.7684468047840562
232,2.755252494664787
233,2.7421262909403694
234,2.729067841313361
235,2.7160767953215315
236,2.703152804301241
237,2.6902955214143
238,2.6775046016021777
239,2.664779701599055
240,2.6521204799192883
241,2.6395265968396227
242,2.6269977144073287
243,2.614533496416997
244,2.6021336083858784
245,2.5897977175978903
246,2.5775254930167706
247,2.5653166053547776
248,2.553170727023551
249,2.541087532127674
250,2.529069326162794
251,2.5171066142557446
252,2.5052134421878107
253,2.493373845600832
254,2.4816031498491498
255,2.469885394724593
256,2.4582359118826527
257,2.4466387411632113
258,2.4351092206698466
259,2.4236313902720386
260,2.4122205944834416
261,2.4008608731823076
262,2.3895675772419134
263,2.378324746526109
264,2.3671477382246655
265,2.3560205921789654
266,2.34495867183439
267,2.3339460169899686
268,2.3229979973030526
269,2.3120986525269136
270,2.301263358468286
271,2.2904761548226387
272,2.279752423499874
273,2.269076204115276
274,2.2584628846534236
275,2.2478965046124086
276,2.237392458014462
277,2.226934784242906
278,2.216538883273208
279,2.206188794374427
280,2.1958999234539425
281,2.185658743261941
282,2.1754719856259515
283,2.1653376631140326
284,2.1552556298775833
285,2.1452256060347654
286,2.135247323369561
287,2.1253205142710314
288,2.1154449125852675
289,2.105620253520567
290,2.0958462736624672
291,2.086122710966145
292,2.0764493047283206
293,2.066825795611342
294,2.0572519256018875
295,2.0477274380423176
296,2.0382520775886737
297,2.0288255902278145
298,2.019447723253826
299,2.0101182252827834
300,2.0008368462141437
301,1.9916033372554083
302,1.982417450893596
303,1.973278940900935
304,1.9641875623317337
305,1.9551430714912008
306,1.946145225959508
307,1.9371937845703557
308,1.9282885073948954
309,1.9194291557628063
310,1.9106154922313097
311,1.9018472805821731
312,1.8931242858300954
313,1.8844462741932595
314,1.8758130131106667
315,1.8672242712265597
316,1.858679818367055
317,1.8501794255693862
318,1.8417228650396178
319,1.8333099101733006
320,1.8249403355381206
321,1.816613916864165
322,1.8083304310493393
323,1.800089656136713
324,1.7918913713250337
325,1.7837353569476881
326,1.7756213944902814
327,1.767549266555739
328,1.7595187568736526
329,1.7515296503036126
330,1.7435817328029228
331,1.7356747914535842
332,1.7278086144305878
333,1.7199829909978686
334,1.7121977115222016
335,1.7044525674520563
336,1.696747351314146
337,1.6890818567046293
338,1.681455878300854
339,1.673869211827441
340,1.6663216540746384
341,1.6588130028840153
342,1.6513430571441818
343,1.6439116167812196
344,1.6365184827531385
345,1.6291634570550348
346,1.6218463427124097
347,1.61456694374995
348,1.607325065226366
349,1.6001205132023593
350,1.59295309473794
351,1.5858226178955388
352,1.5787288917356557
353,1.571671726298109
