Lambda,Deviation,Position,parameters
0,0.1,1,45.6971117806322
0,0.1,2,0.8372847020921774
0,0.1,3,48.70038054583693
0,0.1,4,43.43661563345391
0,0.1,5,-0.04978140065240257
0,0.1,6,43.49236921443044
