Iteration,Lambda,Deviation,step_size,Morozov,Objective_Function,Tikhonov,Time_Spent
33,0,0.1,4.695715993525257e-08,2592.0000000000005,48480955.36559557,15331.28252220808,35.73898410797119
34,0,0.1,5.545813260172821e-07,2592.0000000000005,47829616.83185718,15096.891268743639,36.764312744140625
35,0,0.1,4.72999676338889e-08,2592.0000000000005,47201749.7135046,15061.272950046086,37.8241012096405
36,0,0.1,5.498008521167526e-07,2592.0000000000005,46580733.51781244,14835.34613096393,38.876692056655884
37,0,0.1,4.763570622882822e-08,2592.0000000000005,45981691.37878667,14801.062640178136,39.86402463912964
38,0,0.1,5.45186837274196e-07,2592.0000000000005,45389051.96685848,14583.216479618819,40.86965322494507
39,0,0.1,4.796453143571798e-08,2592.0000000000005,44816995.71271517,14550.202517892289,41.85659980773926
40,0,0.1,5.407274316507204e-07,2592.0000000000005,44250932.38315713,14339.9914359241,42.84910345077515
41,0,0.1,4.8286755944906975e-08,2592.0000000000005,43704176.6350915,14308.187363054,43.83969259262085
42,0,0.1,5.364045941274213e-07,2592.0000000000005,43163029.84578371,14105.249851347646,44.80635213851929
43,0,0.1,4.860252530043343e-08,2592.0000000000005,42640024.41238044,14074.60140752226,45.78909111022949
44,0,0.1,5.322443105677909e-07,2592.0000000000005,42122271.404412605,13878.524617910223,46.7762975692749
45,0,0.1,4.891196306029429e-08,2592.0000000000005,41621554.93125303,13848.978809328637,47.79918718338013
46,0,0.1,5.282123047779447e-07,2592.0000000000005,41125763.17554518,13659.440025477665,48.78665018081665
47,0,0.1,4.921548322237409e-08,2592.0000000000005,40646004.717732064,13630.952437368049,49.778374671936035
48,0,0.1,5.242855350164662e-07,2592.0000000000005,40170870.098098576,13447.683079181757,50.76295614242554
49,0,0.1,4.951310886790976e-08,2592.0000000000005,39710852.769995056,13420.201215637328,51.736690282821655
50,0,0.1,5.205030131788435e-07,2592.0000000000005,39255177.85172498,13242.759520406482,52.75188970565796
51,0,0.1,4.980471902778323e-08,2592.0000000000005,38813739.83502535,13216.242560583865,53.73099899291992
52,0,0.1,5.168503472632463e-07,2592.0000000000005,38376384.56728282,13044.4718210635,54.706361055374146
53,0,0.1,5.009080605274344e-08,2592.0000000000005,37952450.84289998,13018.881381397725,55.77430081367493
54,0,0.1,5.132928522207812e-07,2592.0000000000005,37532357.6362101,12852.476030836535,56.788573026657104
55,0,0.1,5.0371459538743155e-08,2592.0000000000005,37124950.32101643,12827.771174593729,57.763243198394775
56,0,0.1,5.098536737825953e-07,2592.0000000000005,36721165.06717468,12666.514472150136,58.75393223762512
57,0,0.1,5.0646487932743585e-08,2592.0000000000005,36329363.040332824,12642.65136934142,59.74180483818054
58,0,0.1,5.065123752018961e-07,2592.0000000000005,35940967.15316049,12486.330426600716,60.714165925979614
59,0,0.1,5.091676773461483e-08,2592.0000000000005,35563911.08658111,12463.291807102114,61.71150541305542
60,0,0.1,5.032663012780626e-07,2592.0000000000005,35190072.201786056,12311.674000908559,62.739542961120605
61,0,0.1,5.118180000787239e-08,2592.0000000000005,34826971.79297195,12289.413750690775,63.76527166366577
62,0,0.1,5.001284173038367e-07,2592.0000000000005,34466903.61222476,12142.226098102972,64.7825767993927
63,0,0.1,5.1441765557999815e-08,2592.0000000000005,34117008.74188689,12120.716232985345,65.80317234992981
64,0,0.1,4.970691843653752e-07,2592.0000000000005,33769973.04603756,11977.826998195804,66.83747887611389
65,0,0.1,5.1697169761965826e-08,2592.0000000000005,33432592.070189696,11957.041951000256,67.868572473526
66,0,0.1,4.940678665884808e-07,2592.0000000000005,33097918.317919556,11818.325844027851,68.90507388114929
67,0,0.1,5.1948057200054834e-08,2592.0000000000005,32772419.79553405,11798.237256912675,69.90949869155884
68,0,0.1,4.911772311715612e-07,2592.0000000000005,32449485.48308461,11663.43778066487,70.93496894836426
69,0,0.1,5.219412148231329e-08,2592.0000000000005,32135251.24665733,11644.024286874908,71.93100380897522
70,0,0.1,4.883811952075224e-07,2592.0000000000005,31823440.218017593,11512.991175969662,72.92223262786865
71,0,0.1,5.2435384329606714e-08,2592.0000000000005,31519892.33083312,11494.215140142678,73.92138862609863
72,0,0.1,4.856444817496607e-07,2592.0000000000005,31218643.33682221,11366.825171588753,74.89188170433044
73,0,0.1,5.267227203396192e-08,2592.0000000000005,30925261.538715158,11348.661354848067,75.86096477508545
74,0,0.1,4.829981076887385e-07,2592.0000000000005,30634061.80506948,11224.775697639796,76.83733081817627
75,0,0.1,5.290543334875835e-08,2592.0000000000005,30350340.27016884,11207.2223301791,77.81505036354065
76,0,0.1,4.804109427566076e-07,2592.0000000000005,30068690.16336683,11086.654575469822,78.80254864692688
77,0,0.1,5.313417390847072e-08,2592.0000000000005,29794170.968135014,11069.68327468208,79.77705121040344
78,0,0.1,4.778913548979415e-07,2592.0000000000005,29521617.847771797,10952.367740949312,80.76971769332886
79,0,0.1,5.335839801700759e-08,2592.0000000000005,29255863.87419296,10935.94660477242,81.81629252433777
80,0,0.1,4.7548138199263696e-07,2592.0000000000005,28991976.76890952,10821.715231198288,82.83732843399048
81,0,0.1,5.357845960176512e-08,2592.0000000000005,28734556.765410613,10805.833586247956,83.8254885673523
82,0,0.1,4.7312716979621484e-07,2592.0000000000005,28478909.956180364,10694.581660845208,84.82787370681763
83,0,0.1,5.379496366467488e-08,2592.0000000000005,28229437.946972564,10679.217985780779,85.84066319465637
84,0,0.1,4.708300333185987e-07,2592.0000000000005,27981661.268557616,10570.771914876974,86.84246611595154
85,0,0.1,5.400782151162994e-08,2592.0000000000005,27739782.323472373,10555.927977113433,87.81640982627869
86,0,0.1,4.685485017399842e-07,2592.0000000000005,27499516.702080797,10450.36522670816,88.8223717212677
87,0,0.1,5.421686668914111e-08,2592.0000000000005,27264903.107187673,10435.988814960749,89.83195924758911
88,0,0.1,4.663209393998733e-07,2592.0000000000005,27031835.092487186,10333.061933946026,90.81849026679993
89,0,0.1,5.4422663383741956e-08,2592.0000000000005,26804168.659316085,10319.17148792639,91.81027269363403
90,0,0.1,4.6414009984546494e-07,2592.0000000000005,26577979.498400312,10219.006631082613,92.80515384674072
91,0,0.1,5.462508617066052e-08,2592.0000000000005,26356964.86522166,10205.562175836776,93.81176829338074
92,0,0.1,4.620443343750539e-07,2592.0000000000005,26137349.04255956,10107.620705513538,94.83772253990173
93,0,0.1,5.482258363072572e-08,2592.0000000000005,25922679.763916425,10094.60265914365,95.86163091659546
94,0,0.1,4.6007417476382193e-07,2592.0000000000005,25709356.272662118,9999.031020730805,96.8921160697937
95,0,0.1,5.50171202012826e-08,2592.0000000000005,25500731.843772843,9986.45007511192,97.92849326133728
96,0,0.1,4.580263207988912e-07,2592.0000000000005,25293403.082146887,9893.407654026942,98.98075699806213
97,0,0.1,5.520860203436843e-08,2592.0000000000005,25090622.030261993,9881.23844662697,99.99736523628235
98,0,0.1,4.5620707591969594e-07,2592.0000000000005,24889080.279378448,9790.302607424488,101.02300071716309
99,0,0.1,5.539519225145174e-08,2592.0000000000005,24691844.056330297,9778.52530123694,102.06990838050842
100,0,0.1,4.543217070837773e-07,2592.0000000000005,24495775.141357746,9689.819144327628,0.0
101,0,0.1,5.558051247388767e-08,2592.0000000000005,24303886.068226345,9678.433466007198,1.0511767864227295
102,0,0.1,4.5237808572218015e-07,2592.0000000000005,24113120.8895047,9591.918147042059,2.0854148864746094
103,0,0.1,5.5765866832883e-08,2592.0000000000005,23926396.687607568,9580.967466583472,3.108574628829956
104,0,0.1,4.504447723047601e-07,2592.0000000000005,23740760.290197387,9496.436366961436,4.1406409740448
105,0,0.1,5.594568037604449e-08,2592.0000000000005,23559009.14781979,9485.745264845435,5.151593446731567
106,0,0.1,4.484267760686991e-07,2592.0000000000005,23378313.50489844,9402.923670914875,6.1618547439575195
107,0,0.1,5.612248249819255e-08,2592.0000000000005,23201383.711326234,9392.461374180853,7.179557800292969
108,0,0.1,4.4631185419893557e-07,2592.0000000000005,23025484.170526218,9311.71769244392,8.22745943069458
109,0,0.1,5.630829331241311e-08,2592.0000000000005,22853232.10349726,9308.791964699245,9.313058137893677
110,0,0.1,4.726806518423881e-07,2592.0000000000005,22682239.568229795,9220.882576000824,10.352141857147217
111,0,0.1,5.6059361531808946e-08,2592.0000000000005,22504805.66358542,9211.168752306494,11.390005588531494
112,0,0.1,4.708097829042273e-07,2592.0000000000005,22328606.546444245,9128.031010638137,12.433408498764038
113,0,0.1,5.623411026989946e-08,2592.0000000000005,22156189.044237036,9118.807908938383,13.431548118591309
114,0,0.1,4.690015277123542e-07,2592.0000000000005,21984740.879078224,9038.402380503388,14.409907102584839
115,0,0.1,5.6402132249575704e-08,2592.0000000000005,21816864.211692777,9029.53768920555,15.392211675643921
116,0,0.1,4.671461539905073e-07,2592.0000000000005,21649892.222989798,8951.614520280667,16.389251232147217
117,0,0.1,5.657002256913336e-08,2592.0000000000005,21486373.441399448,8943.095213613698,17.371248960494995
118,0,0.1,4.6532413300089055e-07,2592.0000000000005,21323721.55336114,8866.990559918762,18.381916999816895
119,0,0.1,5.6732162578811415e-08,2592.0000000000005,21164394.98980937,8858.764839707843,19.421789169311523
120,0,0.1,4.636496979233035e-07,2592.0000000000005,21005897.83042354,8784.541836611545,20.444952487945557
