Iteration,Lambda,Deviation,step_size,Morozov,Objective_Function,Tikhonov,Time_Spent
83,0,0.1,0.0005503090848823409,170.00000000000003,19733.134812636294,38154.453813735476,3.863947629928589
84,0,0.1,0.0009307522516044367,170.00000000000003,19218.857324294433,38340.130962064635,3.913013219833374
85,0,0.1,0.0005486143728271235,170.00000000000003,18717.485621879405,38213.27338359112,3.9575917720794678
86,0,0.1,0.0009344182766232282,170.00000000000003,18233.29115207583,38396.70527602274,4.00333046913147
87,0,0.1,0.0005469979383163825,170.00000000000003,17761.15412978437,38273.809951609976,4.051237344741821
88,0,0.1,0.0009379632314135511,170.00000000000003,17304.97345991145,38454.98154837308,4.094865322113037
89,0,0.1,0.0005454758535634965,170.00000000000003,16860.06160971832,38335.9043042204,4.141441345214844
90,0,0.1,0.0009413456162847261,170.00000000000003,16429.998557480656,38514.825104709045,4.186394453048706
91,0,0.1,0.000544020590584596,170.00000000000003,16010.494453726222,38399.42085391992,4.230246543884277
92,0,0.1,0.0009446189627149259,170.00000000000003,15604.826565781534,38576.09297343368,4.273511648178101
93,0,0.1,0.000542640914650437,170.00000000000003,15209.053932019424,38464.2283741942,4.320964574813843
94,0,0.1,0.0009477674737461265,170.00000000000003,14826.190892464338,38638.64244850252,4.366961240768433
95,0,0.1,0.000541328416825339,170.00000000000003,14452.618674299634,38530.19064957547,4.412515878677368
96,0,0.1,0.000950782402602903,170.00000000000003,14091.102078371,38702.34590861138,4.457139253616333
97,0,0.1,0.0005400897830822537,170.00000000000003,13738.319480306947,38597.18429374705,4.5006959438323975
98,0,0.1,0.0009536963460577514,170.00000000000003,13396.81316252724,38767.06851587766,4.547654390335083
99,0,0.1,0.000538906660975419,170.00000000000003,13063.521783299511,38665.08443100146,4.594753980636597
100,0,0.1,0.0009564793655430532,170.00000000000003,12740.779444945418,38832.69373437281,0.0
101,0,0.1,0.0005377828739792318,170.00000000000003,12425.774176058356,38733.7763564853,0.05142068862915039
102,0,0.1,0.0009591925289737156,170.00000000000003,12120.658254575392,38899.115621433266,0.0977177619934082
103,0,0.1,0.0005367049217886567,170.00000000000003,11822.829625194165,38803.158073064646,0.14730000495910645
