Lambda,Deviation,Position,parameters
0,0.1,1,45.62412278911098
0,0.1,2,0.3540184056057286
0,0.1,3,41.899171663995766
0,0.1,4,47.78323408237206
0,0.1,5,-1.4438412366951787
0,0.1,6,0.055184249822193436
