0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1254.1068981330327,2106.2825848646225,2512.7152293749195,2615.8175956103087,2600.4297112818385,2619.922920354563,2746.475632225375,2961.2448644677916,3183.350929347641,3321.2879267629924,3322.4877109442587,3199.1315217490037,3019.6279950452254,2870.6213950770216,2807.5394620210027,2817.1000276612604,2810.5842506304225,2653.837376630835,2224.042529696696,1470.845411145375
1267.583675941273,2129.741904304374,2540.935575041306,2645.2457012248806,2629.67756040902,2649.399116492965,2777.4342899435915,2994.719368196882,3219.4272240850833,3358.980040680286,3360.193879352575,3235.392673227925,3053.786409428705,2903.0343189346477,2839.2134325938396,2848.885992446101,2842.2938884131154,2683.710852904025,2248.8813106373027,1486.861103479088
1280.948157372949,2153.005747005752,2568.92077232068,2674.42859469181,2658.6816993907933,2678.629699765419,2808.134982060941,3027.914942828116,3255.202910083811,3396.358081910609,3397.585857963699,3271.351675633895,3087.6601959716863,2935.1771593973517,2870.623477161711,2880.4070980248534,2873.739302990838,2713.335405941366,2273.5131203613773,1502.743343718923
1294.2006179849734,2176.07459263665,2596.6713982286637,2703.366877721538,2687.442726251932,2707.6152728656616,2838.578341582751,3060.8322728078083,3290.6787249884237,3433.4228211368836,3434.6644177479247,3307.0092703912424,3121.2500531042624,2967.050579205542,2901.7702433557997,2911.66399431862,2904.9211427240534,2742.711646559701,2297.938466742381,1518.4924593344565
1307.341342697887,2198.948937164433,2624.188049388298,2732.0611724710716,2715.9612593385364,2736.3564589674133,2868.765023024337,3093.472065840265,3325.855431509235,3470.175055230414,3471.430355873689,3342.3662241184456,3154.556702989703,2998.655263620036,2932.6544008142746,2942.6573533333067,2935.8400780049915,2771.8402063318827,2322.1578749116907,1534.1087889229252
1320.3706257150122,2221.629292715207,2651.471341860748,2760.512121367452,2744.237937142575,2764.8539015475453,2898.695702225289,3125.8350526869763,3360.733817205848,3506.6156070247653,3507.884495481374,3377.423328410602,3187.5808913195324,3029.9919202276196,2963.2766409922824,2973.387868968939,2966.4968010674284,2800.7217374075663,2346.1718871095954,1549.5926821131475
1333.2887704407035,2244.116187431513,2678.521910974124,2788.7203869292334,2772.2734181244678,2793.108264207285,2928.3710761616703,3157.9219869635563,3395.314694268318,3542.7453250871295,3544.02768545458,3412.1813996194705,3220.3233871063303,3061.0612787444315,2993.6376769698154,3003.856256826846,2996.8920257943373,2829.356912331992,2369.9810625346217,1564.9444994683722
1346.0960893977199,2266.4101653284933,2705.340411150454,2816.6866515860665,2800.068380533766,2821.120230491485,2957.7918627562112,3189.733644934511,3429.5988992959647,3578.5650834872276,3579.860800188949,3446.6412786311485,3252.7849824743016,3091.864090817231,3023.7382432575096,3034.0632540147817,3027.026487523467,2857.7464238628318,2393.5859771912465,1580.1646123880855
1358.7929041437183,2288.5117861485387,2731.9275157308284,2844.4116174963483,2827.623522227923,2848.8905037059903,2986.9588006864797,3221.270825305817,3463.587293073835,3614.0757815637617,3615.384739358524,3480.8038306413873,3284.966492447621,3122.401129822564,3053.579095600391,3064.0096189499664,3056.900942850866,2885.8909847850846,2416.987223735987,1595.2534030087727
1371.379545186896,2310.421625214436,2758.283916798746,2871.8960063630147,2854.939560489217,2876.4198067331217,3015.872649191093,3252.534349015391,3497.280760346882,3649.2783436884756,3650.6004276797257,3514.669944928617,3316.8687547366144,3152.673190663868,3083.161010779604,3093.6961311601217,3086.5161694323933,2913.7913277240787,2440.1854113219224,1610.2112641036676
