Iteration,Lambda,Deviation,step_size,Morozov,Objective_Function,Tikhonov,Time_Spent
93,0,0.5,3.9339148554769037,5500.0,6469.439599958821,10480409.18699588,4.695610046386719
94,0,0.5,1.274580151202973,5500.0,6448.7505461738,10516738.603238447,4.745579242706299
95,0,0.5,3.9348049669912926,5500.0,6428.651590095444,10499055.15136041,4.798152685165405
96,0,0.5,1.2744741219832874,5500.0,6409.114882121826,10534495.696536582,4.852205038070679
97,0,0.5,3.9363681736450546,5500.0,6390.118900909145,10517539.235094883,4.9030256271362305
98,0,0.5,1.27453324708887,5500.0,6371.646628806221,10552124.304296985,4.95326566696167
99,0,0.5,3.9356895225919537,5500.0,6353.680666281877,10535870.083264269,5.005781412124634
100,0,0.5,1.274740436505939,5500.0,6336.211223348011,10569621.686149096,0.0
101,0,0.5,3.935304267672541,5500.0,6319.218164996636,10554028.717952525,0.05009341239929199
102,0,0.5,1.274842950399313,5500.0,6302.679602248452,10586986.189689292,0.10064506530761719
103,0,0.5,3.9346980166788676,5500.0,6286.587777675222,10572030.56918013,0.14981508255004883
104,0,0.5,1.2750428382350252,5500.0,6270.926927874848,10604216.400265958,0.20016908645629883
105,0,0.5,3.9337644084958416,5500.0,6255.685689251573,10589865.003848488,0.25243139266967773
106,0,0.5,1.2752854579929638,5500.0,6240.845064685026,10621307.904119382,0.3026282787322998
107,0,0.5,3.933000246663423,5500.0,6226.392994235373,10607538.17687263,0.3541593551635742
108,0,0.5,1.2753050519443516,5500.0,6212.318438615239,10638262.735104106,0.4047677516937256
109,0,0.5,3.936256979396966,5500.0,6198.61074236428,10625048.755436016,0.4566810131072998
110,0,0.5,1.2749661577662343,5500.0,6185.249950956407,10655094.582034012,0.5089845657348633
111,0,0.5,3.933295865005445,5500.0,6172.228011647283,10642434.438011725,0.5599610805511475
112,0,0.5,1.2759078145253562,5500.0,6159.536537755823,10671795.07206678,0.6091055870056152
113,0,0.5,3.934279433360806,5500.0,6147.18581220115,10659611.164273232,0.6596248149871826
114,0,0.5,1.2747487085627764,5500.0,6135.145900928732,10688335.870550143,0.7119607925415039
115,0,0.5,3.943722437537641,5500.0,6123.390001236843,10676669.570836699,0.7774772644042969
116,0,0.5,1.2760792049619192,5500.0,6111.923461183588,10704811.732709307,0.8298733234405518
117,0,0.5,3.9106258611909595,5500.0,6100.730796569977,10693606.833624775,0.8836588859558105
118,0,0.5,1.2792757537170163,5500.0,6089.866336675484,10721044.470927767,0.9334700107574463
119,0,0.5,3.90089779816515,5500.0,6079.303458229122,10710238.116848055,0.985640287399292
120,0,0.5,1.279006912127533,5500.0,6068.992980388016,10737098.714027414,1.0363819599151611
121,0,0.5,3.9043024348553197,5500.0,6058.9308274148225,10726729.42824315,1.0888001918792725
122,0,0.5,1.2789468106252588,5500.0,6049.107074492609,10753027.079903733,1.1395928859710693
123,0,0.5,3.9059935241521306,5500.0,6039.519055564887,10743067.822672676,1.1921956539154053
124,0,0.5,1.278682883732377,5500.0,6030.1601395820935,10768823.66485327,1.2432410717010498
125,0,0.5,3.9089234261292387,5500.0,6021.020484103784,10759251.45278182,1.2925448417663574
126,0,0.5,1.2785920315243073,5500.0,6012.095665948889,10784475.7484512,1.3450567722320557
127,0,0.5,3.910817962380721,5500.0,6003.378119329215,10775304.959319076,1.39731764793396
128,0,0.5,1.2782157219018102,5500.0,5994.866358213422,10800019.598200604,1.4516236782073975
129,0,0.5,3.9138891026590525,5500.0,5986.54999868064,10791212.110940037,1.5009655952453613
130,0,0.5,1.278207391238928,5500.0,5978.424701026262,10815422.777319876,1.5500822067260742
131,0,0.5,3.9187345482820004,5500.0,5970.488347770409,10806937.281912483,1.6023361682891846
132,0,0.5,1.2769562810437025,5500.0,5962.7299585639485,10830685.638308711,1.651798963546753
133,0,0.5,3.930595875276219,5500.0,5955.144995494572,10822530.839550238,1.701629400253296
134,0,0.5,1.2762483690768394,5500.0,5947.719825800079,10845776.267293302,1.755920171737671
135,0,0.5,4.041745447234823,5500.0,5940.453802194171,10837580.901222328,1.8073413372039795
136,0,0.5,1.2540773517398418,5500.0,5933.335999580562,10860745.441751407,1.8563859462738037
137,0,0.5,4.1663869635657536,5500.0,5926.134439485026,10853622.8979406,1.9097800254821777
138,0,0.5,1.2532414599076953,5500.0,5919.094054814166,10876313.955661096,1.960766077041626
139,0,0.5,4.1679921400249675,5500.0,5912.207338089816,10869536.98623071,2.0152130126953125
140,0,0.5,1.2535408538904715,5500.0,5905.486582102433,10891745.583687194,2.067770481109619
141,0,0.5,4.168545292629203,5500.0,5898.924202279286,10885208.292120902,2.118753671646118
142,0,0.5,1.2534545258038712,5500.0,5892.508051937052,10906971.73651876,2.1674509048461914
143,0,0.5,4.171180663943516,5500.0,5886.242327437929,10900745.04305454,2.226623773574829
144,0,0.5,1.2532443159423596,5500.0,5880.119525920669,10922062.678731661,2.278587579727173
145,0,0.5,4.174280313963421,5500.0,5874.1331910664,10916084.800046477,2.3287036418914795
146,0,0.5,1.253116708366094,5500.0,5868.281775520147,10936978.19595583,2.379254102706909
147,0,0.5,4.174611125055766,5500.0,5862.560491431078,10931272.772741562,2.4298574924468994
148,0,0.5,1.253242911045696,5500.0,5856.969303766964,10951749.327014424,2.477639675140381
149,0,0.5,4.174110900435384,5500.0,5851.503917728466,10946279.921446335,2.5299644470214844
150,0,0.5,1.2533005112969684,5500.0,5846.161224575247,10966354.21038151,2.5793347358703613
151,0,0.5,4.173288516344413,5500.0,5840.937316929359,10961120.465218345,2.6295433044433594
152,0,0.5,1.2533865728146034,5500.0,5835.830002703927,10980799.250229634,2.6783790588378906
153,0,0.5,4.174164871989691,5500.0,5830.835913150426,10975798.990509931,2.7282190322875977
154,0,0.5,1.2534576958390962,5500.0,5825.9515873526625,10995095.57367892,2.7795639038085938
155,0,0.5,4.172337677921283,5500.0,5821.173870733674,10990305.727441354,2.83077335357666
156,0,0.5,1.253576444509153,5500.0,5816.501690976674,11009228.1412807,2.8816471099853516
157,0,0.5,4.1727548850831,5500.0,5811.93207614322,11004651.158299778,2.9308040142059326
158,0,0.5,1.2535975639775674,5500.0,5807.461200537022,11023214.800052568,2.9785819053649902
159,0,0.5,4.172878555425919,5500.0,5803.0867423696,11018845.5295311,3.0291378498077393
160,0,0.5,1.253612867602231,5500.0,5798.807085909872,11037051.824537173,3.0777485370635986
