Iteration,Lambda,Deviation,step_size,Morozov,Objective_Function,Tikhonov,Time_Spent
0,0,0.5,0.8728705739954907,6000.0,487142.90006587317,644599.5587397632,0.0
1,0,0.5,14.153629468572095,6000.0,146525.8200892771,3224300.0712569547,0.05348515510559082
2,0,0.5,0.8741916369184731,6000.0,51253.27212989603,3206371.3614700935,0.10639357566833496
3,0,0.5,14.619071944603032,6000.0,24524.724672738354,5320356.160131109,0.15764188766479492
4,0,0.5,0.8776035859760243,6000.0,16133.881293578954,5290386.693057254,0.2110121250152588
5,0,0.5,16.73042950772701,6000.0,13475.192888848398,5907664.290979353,0.2631683349609375
6,0,0.5,0.8896978416451927,6000.0,12315.503582134874,5871460.327785248,0.31939697265625
7,0,0.5,19.85959919485752,6000.0,11795.913374897296,5777698.167058316,0.3731398582458496
8,0,0.5,0.8927075922705162,6000.0,11362.58386483994,5736635.282527036,0.42348718643188477
9,0,0.5,20.00400773430298,6000.0,10998.403112900236,5488533.288586858,0.4737818241119385
10,0,0.5,0.8927420016875725,6000.0,10663.761041082418,5449472.871754896,0.527374267578125
11,0,0.5,20.00653349658693,6000.0,10356.08985019219,5239785.459843384,0.581322431564331
12,0,0.5,0.8927288330713801,6000.0,10073.037936432373,5203228.159887466,0.6331484317779541
13,0,0.5,20.031645507601848,6000.0,9812.527713521313,5036363.5610371465,0.6855053901672363
14,0,0.5,0.8927391344606672,6000.0,9572.463341324255,5002174.3429428805,0.7381601333618164
15,0,0.5,20.03045270551491,6000.0,9351.305675518926,4871076.511831868,0.7916510105133057
16,0,0.5,0.8927199297365193,6000.0,9147.599314851805,4839109.069015471,0.8482983112335205
17,0,0.5,20.06531278152215,6000.0,8959.89577749156,4736695.292929507,0.9028990268707275
18,0,0.5,0.8927289561706474,6000.0,8786.469144780556,4706767.279257192,0.9565553665161133
19,0,0.5,20.0670974257215,6000.0,8626.681382510427,4627600.687734732,1.0082035064697266
20,0,0.5,0.89278652919357,6000.0,8479.186186596313,4599573.406848298,1.0619595050811768
21,0,0.5,20.0754913076676,6000.0,8343.026888998585,4539062.206353011,1.11464262008667
22,0,0.5,0.892875575595509,6000.0,8217.288289607683,4512784.249059276,1.1688628196716309
23,0,0.5,20.043283129864164,6000.0,8101.045559933183,4466902.438496146,1.220226526260376
