Lambda,Deviation,Position,parameters,T
0,0.5,1,282.07015831369074,307.97318262900677
0,0.5,2,-546.7703461659089,308.0752057421929
0,0.5,3,-671.2676713880776,308.2621554083136
0,0.5,4,-115.07962617722646,308.493514497374
0,0.5,5,-128.75231830588987,308.7682298601749
0,0.5,6,98.83739815893408,309.071053199933
0,0.5,7,95.21520546785855,309.36069872273134
0,0.5,8,291.275657086352,309.59787862809986
0,0.5,9,203.96088913658437,309.76746551317814
0,0.5,10,1417.7468199662892,309.8712420680218
0,0.5,11,449.2944507406629,309.90931374432574
0,0.5,12,433.29826722712755,309.87522304476875
0,0.5,13,374.3441793433894,309.76502799468335
0,0.5,14,366.7828729061551,309.5845254355509
0,0.5,15,275.6408629023467,309.3480706173657
0,0.5,16,316.183369529043,309.0754028456239
0,0.5,17,-17.412979741765373,308.7904553604515
