0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
2000.0,2098.75,2195.0,2288.75,2380.0,2468.75,2555.0,2638.75,2720.0,2798.75,2875.0,2948.75,3020.0,3088.75,3155.0,3218.75,3280.0,3338.75,3395.0,3448.75,3500.0,3548.75,3595.0,3638.75,3680.0,3718.75,3755.0,3788.75,3820.0,3848.75,3875.0,3898.75,3920.0,3938.75,3955.0,3968.75,3980.0,3988.75,3995.0,3998.75,4000.0,3998.75,3995.0,3988.75,3980.0,3968.75,3955.0,3938.75,3920.0,3898.75,3875.0,3848.75,3820.0,3788.75,3755.0,3718.75,3680.0,3638.75,3595.0,3548.75,3500.0,3448.75,3395.0,3338.7500000000005,3280.0,3218.7499999999995,3155.0,3088.7500000000005,3020.0,2948.75,2875.0,2798.75,2720.0,2638.7499999999995,2555.0,2468.7500000000005,2380.0,2288.749999999999,2195.0,2098.7500000000005
2006.283174971759,2105.34340673599,2201.895784531506,2295.940308358307,2387.4769782163935,2476.5057941057653,2563.0267560264224,2647.039863978365,2728.5451179615925,2807.5425179761055,2884.032064021904,2958.0137560989874,3029.4875942073563,3098.4535783470105,3164.91170851795,3228.861984720175,3290.304406953685,3349.2389752184804,3405.665689514561,3459.584549841927,3510.9955562005784,3559.898708590515,3606.294007011737,3650.181451464244,3691.5610419480367,3730.4327784631146,3766.7966610094777,3800.652689587126,3832.00086419606,3860.841184836279,3887.1736515077832,3910.998264210573,3932.315022944648,3951.123927710008,3967.4249785066536,3981.2181753345844,3992.5035181938006,4001.281007084302,4007.5506420060888,4011.312422959161,4012.566349943518,4011.312422959161,4007.5506420060888,4001.281007084302,3992.5035181938006,3981.2181753345844,3967.4249785066536,3951.123927710008,3932.315022944648,3910.998264210573,3887.1736515077832,3860.841184836279,3832.00086419606,3800.652689587126,3766.7966610094777,3730.4327784631146,3691.5610419480367,3650.181451464244,3606.294007011737,3559.898708590515,3510.9955562005784,3459.584549841927,3405.665689514561,3349.238975218481,3290.304406953685,3228.8619847201744,3164.91170851795,3098.453578347011,3029.4875942073563,2958.0137560989874,2884.032064021904,2807.5425179761055,2728.5451179615925,2647.0398639783643,2563.0267560264224,2476.5057941057657,2387.4769782163935,2295.940308358306,2201.895784531506,2105.3434067359904
2012.5662879311176,2111.9367483977167,2208.7915010044017,2303.130545751173,2394.95388263803,2484.2615116649736,2571.0534328320027,2655.3296461391183,2737.09015158632,2816.334949173608,2893.064038900982,2967.2774207684415,3038.9750947759876,3108.15706092362,3174.823319211338,3238.9738696391423,3300.608712207033,3359.7278469150096,3416.331273763072,3470.418992751221,3521.991003879456,3571.047307147777,3617.587902556184,3661.612790104677,3703.1219697932565,3742.115441621922,3778.5932055906733,3812.555261699511,3844.0016099484346,3872.9322503374447,3899.3471828665406,3923.2464075357225,3944.6299243449907,3963.497733294345,3979.849834383785,3993.6862276133115,4005.0069129829244,4013.8118904926228,4020.1011601424075,4023.8747219322786,4025.132575862235,4023.8747219322786,4020.1011601424075,4013.8118904926228,4005.0069129829244,3993.6862276133115,3979.849834383785,3963.497733294345,3944.6299243449907,3923.2464075357225,3899.3471828665406,3872.9322503374447,3844.0016099484346,3812.555261699511,3778.5932055906733,3742.115441621922,3703.1219697932565,3661.612790104677,3617.587902556184,3571.047307147777,3521.991003879456,3470.418992751221,3416.331273763072,3359.72784691501,3300.608712207033,3238.973869639142,3174.823319211338,3108.1570609236205,3038.9750947759876,2967.2774207684415,2893.064038900982,2816.334949173608,2737.09015158632,2655.329646139118,2571.0534328320027,2484.261511664974,2394.95388263803,2303.1305457511717,2208.7915010044017,2111.936748397717
2018.849276866288,2118.529959911561,2215.687081360751,2310.3206412138584,2402.430639470883,2492.017076131824,2579.079951196683,2663.6192646654586,2745.635016538152,2825.127206814762,2902.095835495289,2976.5409025797335,3048.462408068095,3117.8603519603735,3184.7347342565695,3249.0855549566822,3310.912814060712,3370.2165115686594,3426.9966474805237,3481.2532217963053,3532.986234516004,3582.1956856396196,3628.8815751671527,3673.0439030986026,3714.6826694339697,3753.797874173254,3790.3895173164556,3824.4575988635743,3856.00211881461,3885.023077169563,3911.520473928433,3935.49430909122,3956.9445826579245,3975.871294628546,3992.2744450030846,4006.1540337815404,4017.510060963913,4026.3425265502033,4032.6514305404103,4036.4367729345345,4037.698553732576,4036.4367729345345,4032.6514305404103,4026.3425265502033,4017.510060963913,4006.1540337815404,3992.2744450030846,3975.871294628546,3956.9445826579245,3935.49430909122,3911.520473928433,3885.023077169563,3856.00211881461,3824.4575988635743,3790.3895173164556,3753.797874173254,3714.6826694339697,3673.0439030986026,3628.8815751671527,3582.1956856396196,3532.986234516004,3481.2532217963053,3426.9966474805237,3370.21651156866,3310.912814060712,3249.085554956682,3184.7347342565695,3117.860351960374,3048.462408068095,2976.5409025797335,2902.095835495289,2825.127206814762,2745.635016538152,2663.619264665458,2579.079951196683,2492.0170761318245,2402.430639470883,2310.3206412138575,2215.687081360751,2118.5299599115615
2025.1320797667054,2125.1229762051867,2222.582457543959,2317.5105237830235,2409.9071749223795,2499.772410962027,2587.106231901966,2671.908637742197,2754.179628482719,2833.9192041235333,2911.127364664639,2985.804110106036,3057.949440447725,3127.5633556897055,3194.6458558319778,3259.1969408745413,3321.216610817397,3380.704865660544,3437.6617054039825,3492.0871300477124,3543.9811395917345,3593.343734036048,3640.174913380653,3684.4746776255497,3726.2430267707377,3765.479960816218,3802.1854797619894,3836.3595836080526,3868.0022723544075,3897.1135460010537,3923.6934045479916,3947.741847995221,3969.2588763427425,3988.2444895905555,4004.69868773866,4018.621470787056,4030.0128387357436,4038.872791584723,4045.201329333994,4048.9984519835566,4050.2641595334107,4048.9984519835566,4045.201329333994,4038.872791584723,4030.0128387357436,4018.621470787056,4004.69868773866,3988.2444895905555,3969.2588763427425,3947.741847995221,3923.6934045479916,3897.1135460010537,3868.0022723544075,3836.3595836080526,3802.1854797619894,3765.479960816218,3726.2430267707377,3684.4746776255497,3640.174913380653,3593.343734036048,3543.9811395917345,3492.0871300477124,3437.6617054039825,3380.7048656605443,3321.216610817397,3259.196940874541,3194.6458558319778,3127.563355689706,3057.949440447725,2985.804110106036,2911.127364664639,2833.9192041235333,2754.179628482719,2671.9086377421963,2587.106231901966,2499.7724109620276,2409.9071749223795,2317.5105237830226,2222.582457543959,2125.122976205187
2031.4146346236414,2131.715732208184,2229.4775614994464,2324.7001224974297,2417.383415202133,2507.5274396135574,2595.132195731702,2680.197683556567,2762.7239030881524,2842.7108543264585,2920.1585372714844,2995.0669519232315,3067.436098281699,3137.2659763468864,3204.5565861187943,3269.307927597423,3331.520000782772,3391.1928056748416,3448.3263422736313,3502.920610579142,3554.9756105913725,3604.491342310324,3651.4678057359956,3695.9050008683876,3737.8029277075,3777.1615862533336,3813.9809765058867,3848.261098465161,3880.001952131155,3909.20353750387,3935.8658545833055,3959.9889033694612,3981.5726838623373,4000.617196061934,4017.122439968251,4031.0884155812887,4042.5151229010467,4051.402561927525,4057.7507326607238,4061.559635100643,4062.829269247283,4061.559635100643,4057.7507326607238,4051.402561927525,4042.5151229010467,4031.0884155812887,4017.122439968251,4000.617196061934,3981.5726838623373,3959.9889033694612,3935.8658545833055,3909.20353750387,3880.001952131155,3848.261098465161,3813.9809765058867,3777.1615862533336,3737.8029277075,3695.9050008683876,3651.4678057359956,3604.491342310324,3554.9756105913725,3502.920610579142,3448.3263422736313,3391.192805674842,3331.520000782772,3269.3079275974223,3204.5565861187943,3137.265976346887,3067.436098281699,2995.0669519232315,2920.1585372714844,2842.7108543264585,2762.7239030881524,2680.1976835565665,2595.132195731702,2507.527439613558,2417.383415202133,2324.7001224974288,2229.4775614994464,2131.7157322081844
2037.6968794308166,2138.308162852713,2236.3723251753213,2331.8893663986405,2424.859286522672,2515.282085547414,2603.1577634728683,2688.4863202990337,2771.2677560259103,2851.502070653499,2929.189264181799,3004.32933661081,3076.922287940533,3146.9681181709675,3214.466827302113,3279.41841533397,3341.822882266539,3401.6802280998195,3458.990452833811,3513.7535564685145,3565.969539003929,3615.638400440055,3662.760140776893,3707.334760014442,3749.3622581527025,3788.8426351916746,3825.775891131358,3860.1620259717533,3892.0010397128594,3921.2929323546778,3948.037703897207,3972.235354340448,3993.8858836844006,4012.989291929064,4029.54557907444,4043.5547451205266,4055.016790067325,4063.9317139148347,4070.2995166630562,4074.120198311989,4075.393758861633,4074.120198311989,4070.2995166630562,4063.9317139148347,4055.016790067325,4043.5547451205266,4029.54557907444,4012.989291929064,3993.8858836844006,3972.235354340448,3948.037703897207,3921.2929323546778,3892.0010397128594,3860.1620259717533,3825.775891131358,3788.8426351916746,3749.3622581527025,3707.334760014442,3662.760140776893,3615.638400440055,3565.969539003929,3513.7535564685145,3458.990452833811,3401.68022809982,3341.822882266539,3279.4184153339697,3214.466827302113,3146.968118170968,3076.922287940533,3004.32933661081,2929.189264181799,2851.502070653499,2771.2677560259103,2688.486320299033,2603.1577634728683,2515.2820855474147,2424.859286522672,2331.8893663986396,2236.3723251753213,2138.3081628527134
2043.9787521850103,2144.9002030741453,2243.2666805230488,2339.078184531721,2432.334715100162,2523.036272228372,2611.182855916351,2696.774466164098,2779.811102971614,2860.2927663388987,2938.2194562659524,3013.5911727527746,3086.4079157993656,3156.6696854057254,3224.3764815718537,3289.528304297751,3352.125153583417,3412.1670294288515,3469.653931834055,3524.585860799027,3576.962816323768,3626.7847984082778,3674.051807052556,3718.7638422566033,3760.920904020419,3800.522992344004,3837.570107227357,3872.0622486704788,3903.99941667337,3933.381611236029,3960.2088323584576,3984.4810800406544,4006.19835428262,4025.3606550843547,4041.967982445858,4056.02033636713,4067.5177168481705,4076.46012388898,4082.8475574895583,4086.680017649905,4087.9575043700206,4086.680017649905,4082.8475574895583,4076.46012388898,4067.5177168481705,4056.02033636713,4041.967982445858,4025.3606550843547,4006.19835428262,3984.4810800406544,3960.2088323584576,3933.381611236029,3903.99941667337,3872.0622486704788,3837.570107227357,3800.522992344004,3760.920904020419,3718.7638422566033,3674.051807052556,3626.7847984082778,3576.962816323768,3524.585860799027,3469.653931834055,3412.167029428852,3352.125153583417,3289.5283042977508,3224.3764815718537,3156.669685405726,3086.4079157993656,3013.5911727527746,2938.2194562659524,2860.2927663388987,2779.811102971614,2696.7744661640977,2611.182855916351,2523.0362722283726,2432.334715100162,2339.07818453172,2243.2666805230488,2144.900203074146
2050.260190886675,2151.491787811705,2250.160559498126,2346.2665059459387,2439.8096271551435,2530.7899231257397,2619.2073938577273,2705.062039351107,2788.353859605878,2869.082854622041,2947.2490243995953,3022.8523689385415,3095.8928882388796,3166.370582300609,3234.28545112373,3299.6374947082427,3362.426713054147,3422.6531061614432,3480.316674030131,3535.41741666021,3587.9553340516813,3637.9304262045443,3685.3426931187987,3730.1921347944444,3772.4787512314824,3812.2025424299113,3849.3635083897325,3883.961649110945,3915.9969645935494,3945.4694548375455,3972.379119842933,3996.7259596097124,4018.509974137883,4037.7311634274456,4054.3895274784,4068.485066290746,4080.0177798644836,4088.9876681996125,4095.3947312961336,4099.238969154046,4100.52038177335,4099.238969154046,4095.3947312961336,4088.9876681996125,4080.0177798644836,4068.485066290746,4054.3895274784,4037.7311634274456,4018.509974137883,3996.7259596097124,3972.379119842933,3945.4694548375455,3915.9969645935494,3883.961649110945,3849.3635083897325,3812.2025424299113,3772.4787512314824,3730.1921347944444,3685.3426931187987,3637.9304262045443,3587.9553340516813,3535.41741666021,3480.316674030131,3422.6531061614437,3362.426713054147,3299.6374947082422,3234.28545112373,3166.3705823006094,3095.8928882388796,3022.8523689385415,2947.2490243995953,2869.082854622041,2788.353859605878,2705.0620393511067,2619.2073938577273,2530.78992312574,2439.8096271551435,2346.2665059459378,2250.160559498126,2151.4917878117053
2056.5411335405465,2158.082852009111,2257.05389406075,2353.454259695463,2447.2839489132502,2538.5429617141117,2627.231298098048,2713.3489580650585,2796.895941615143,2877.872248748302,2956.2778794645355,3032.112833763843,3105.377111646225,3176.0707131116815,3244.193638160212,3309.7458867918167,3372.727459006496,3433.1383548042495,3490.9785741850774,3546.2481171489794,3598.946983695956,3649.075173826007,3696.632687539132,3741.6195248353315,3784.0356857146053,3823.881170176953,3861.155978222376,3895.8601098508725,3927.9935650624434,3957.556343857089,3984.5484462348086,4008.9698721956024,4030.820621739471,4050.1006948664135,4066.8100915764303,4080.9488118695217,4092.5168557456873,4101.5142232049275,4107.940914247241,4111.79692887263,4113.082267081093,4111.79692887263,4107.940914247241,4101.5142232049275,4092.5168557456873,4080.9488118695217,4066.8100915764303,4050.1006948664135,4030.820621739471,4008.9698721956024,3984.5484462348086,3957.556343857089,3927.9935650624434,3895.8601098508725,3861.155978222376,3823.881170176953,3784.0356857146053,3741.6195248353315,3696.632687539132,3649.075173826007,3598.946983695956,3546.2481171489794,3490.9785741850774,3433.13835480425,3372.727459006496,3309.7458867918162,3244.193638160212,3176.070713111682,3105.377111646225,3032.112833763843,2956.2778794645355,2877.872248748302,2796.895941615143,2713.348958065058,2627.231298098048,2538.542961714112,2447.2839489132502,2353.4542596954616,2257.05389406075,2158.0828520091113
