Theta 0,Theta 1,Theta 2,Theta 3,Theta 4,Theta 5,Theta 6,Theta 7,Theta 8,Theta 9,Theta 10,Theta 11,Theta 12,Theta 13,Theta 14,Theta 15,Theta 16,Theta 17,Theta 18,Theta 19,Theta 20,Theta 21,Theta 22,Theta 23,Theta 24,Theta 25,Theta 26,Theta 27,Theta 28,Theta 29,Theta 30,Theta 31,Theta 32,Theta 33,Theta 34,Theta 35,Theta 36,Theta 37,Theta 38,Theta 39,Theta 40,Theta 41,Theta 42,Theta 43,Theta 44,Theta 45,Theta 46,Theta 47,Theta 48,Theta 49,Theta 50,Theta 51,Theta 52,Theta 53,Theta 54,Theta 55,Theta 56,Theta 57,Theta 58,Theta 59,Theta 60,Theta 61,Theta 62,Theta 63,Theta 64,Theta 65,Theta 66,Theta 67,Theta 68,Theta 69,Theta 70,Theta 71,Theta 72,Theta 73,Theta 74,Theta 75,Theta 76,Theta 77,Theta 78,Theta 79
300.00958110459993,300.01031075780253,300.01177013134685,300.01384042820774,300.016370668375,300.01921059155086,300.0222319785247,300.0253363818309,300.0284540251883,300.0315385840785,300.0345609853747,300.03750387203166,300.04035733987746,300.0431159662951,300.04577689282263,300.0483386641839,300.0508005627306,300.0531622447383,300.0554235499045,300.0575844052648,300.0596447783362,300.0616046549472,300.0634640290286,300.0652228980243,300.0668812608745,300.0684391171458,300.0698964666634,300.07125330935764,300.07250964520097,300.0736654741827,300.0747207962986,300.07567561154724,300.07652991992785,300.07728372144027,300.0779370160844,300.07848980386024,300.0789420847678,300.079293858807,300.07954512597775,300.0796958862802,300.0797461397144,300.0796958862802,300.07954512597775,300.0792938588069,300.07894208476773,300.0784898038603,300.07793701608443,300.0772837214403,300.0765299199279,300.0756756115473,300.07472079629883,300.0736654741832,300.0725096452024,300.0712533093612,300.0698964666726,300.06843911716885,300.0668812609313,300.06522289816274,300.0634640293613,300.061604655735,300.05964478017137,300.0575844094664,300.0554235593433,300.0531622655098,300.05080060742984,300.04833875806014,300.0457770848203,300.0431163477806,300.0403580742567,300.03750523737756,300.0345634274566,300.03154276519854,300.02846082990783,300.0253467986325,300.0222467155139,300.01922921941724,300.0163900699384,300.01385251832124,300.01175939416646,300.01025348859525
300.0115353618484,300.01233628546964,300.01395810732964,300.0162730202158,300.01911783916756,300.0223279645123,300.0257603633864,300.0293027086389,300.03287324687284,300.0364160373966,300.03989477427825,300.04328697695195,300.04657930795025,300.0497641596371,300.05283734796006,300.0557966483113,300.05864091444334,300.0613695726718,300.06398234349564,300.0664790940826,300.06885976273526,300.07112432139564,300.0732727575503,300.07530506571743,300.0772212435354,300.079021290002,300.08070520469806,300.0822729874504,300.0837246381884,300.08506015688357,300.08627954352465,300.0873827981071,300.0883699206292,300.0892409110903,300.08999576949003,300.0906344958282,300.09115709010496,300.0915635523202,300.091853882474,300.0920280805663,300.09208614659707,300.09202808056637,300.0918538824741,300.0915635523202,300.09115709010496,300.0906344958283,300.08999576949003,300.08924091109037,300.08836992062936,300.0873827981074,300.0862795435253,300.0850601568851,300.08372463819217,300.0822729874597,300.0807052047209,300.0790212900572,300.0772212436671,300.07530506602745,300.0732727582695,300.07112432303876,300.06885976642644,300.0664791022276,300.0639823611239,300.061369610039,300.0586409918962,300.05579680502365,300.05283765689927,300.0497647518101,300.04658040901717,300.04328895747653,300.03989820900284,300.0364217555641,300.03288233018174,300.02931635139106,300.02577945050314,300.0223521623482,300.01914398816183,300.0162927986056,300.0139555403426,300.0122868389056
300.01360341640907,300.01447185264936,300.01624987750716,300.0188015141326,300.02195238737147,300.02552464894035,300.0293613568983,300.0333368942113,300.0373577606012,300.041358317276,300.04529472996313,300.0491389959112,300.0528739346007,300.0564893920119,300.05997957251117,300.06334127429494,300.06657278176544,300.06967320159436,300.0726420808925,300.07547919571914,300.07818443788784,300.08075775625264,300.0831991271159,300.0855085397013,300.087685989193,300.08973147347325,300.0916449916248,300.0934265432559,300.0950761282014,300.09659374639244,300.09797939780066,300.0992330824146,300.10035480022975,300.101344551244,300.10220233545675,300.1029281528677,300.10352200347666,300.1039838872837,300.1043138042888,300.10451175449174,300.1045777378928,300.1045117544918,300.10431380428884,300.1039838872838,300.1035220034767,300.10292815286783,300.10220233545687,300.1013445512442,300.1003548002301,300.0992330824153,300.09797939780225,300.09659374639614,300.0950761282104,300.0934265432776,300.0916449916766,300.0897314735946,300.08768598947347,300.08550854034047,300.08319912855063,300.0807577594217,300.07818444476925,300.0754792103912,300.07264211157116,300.06967326442077,300.06657290759966,300.06334152041825,300.0599800418618,300.05649026308475,300.05287550476214,300.04914173833413,300.0452993575307,300.0413658324265,300.03736944407535,300.03335414412396,300.02938523269756,300.02555491795795,300.02198586912584,300.0188297045228,300.01625641416933,300.01443148196887
300.01577459331855,300.01670711992176,300.0186353751768,300.02141588953594,300.0248640422475,300.0287897250673,300.0330229587392,300.03742545500006,300.0418922820671,300.0463481357731,300.0507414737816,300.05503846783506,300.0592177493238,300.0632662909167,300.0671764103785,300.07094371721905,300.07456577532105,300.0780412701701,300.0813695108781,300.0845501432077,300.08758298971134,300.090467963422,300.09320502258134,300.0957941475197,300.0982353291374,300.10052856329435,300.1026738481367,300.10467118284646,300.1065205670675,300.10822200064695,300.1097754835198,300.11118101565893,300.1124385970531,300.11354822769755,300.1145099075904,300.1153236367308,300.1159894151187,300.1165072427537,300.11687711963583,300.11709904576514,300.1171730211415,300.1170990457652,300.11687711963583,300.11650724275364,300.1159894151187,300.11532363673086,300.1145099075905,300.11354822769783,300.11243859705377,300.1111810156606,300.1097754835235,300.1082220006556,300.1065205670879,300.1046711828939,300.10267384824596,300.10052856354247,300.09823532969347,300.09579414874804,300.0932050252533,300.09046796914066,300.0875830017404,300.0845501680497,300.08136956119176,300.07804136999124,300.0745659690789,300.07094408469203,300.06717709037343,300.0632675167265,300.0592198981998,300.0550421234987,300.0507474933557,300.04635769745227,300.0419068636487,300.03744665258216,300.0330519999788,300.02882647738437,300.02490531750993,300.0214530325491,300.018651697979,300.01667671115393
300.01804013077384,300.01903370625,300.0211065600489,300.0241083673926,300.0278450879656,300.03211525877555,300.036736682357,300.0415590198221,300.0464662731511,300.0513735868488,300.05622162160273,300.060970501893,300.06559438708194,300.0700770871853,300.0744087754332,300.0785836637238,300.082598438563,300.08645125373846,300.0901411066744,300.0936674660346,300.09703005664915,300.10022873908855,300.10326344414386,300.1061341381232,300.1088408049222,300.1113834369751,300.1137620307846,300.1159765847589,300.1180270981835,300.1199135707423,300.121636002297,300.1231943927879,300.1245887421897,300.12581905049154,300.12688531768896,300.1277875437799,300.1285257287639,300.1290998726404,300.12950997540946,300.1297560370708,300.1298380576246,300.1297560370708,300.12950997540946,300.1290998726405,300.1285257287639,300.12778754378013,300.12688531768924,300.1258190504923,300.1245887421913,300.1231943927914,300.1216360023049,300.11991357076073,300.1180270982259,300.11597658485505,300.1137620309998,300.1113834374503,300.10884080595713,300.10613414034367,300.10326344883424,300.10022874883407,300.0970300765492,300.0936675059319,300.0901411851345,300.08645140492644,300.0825987237168,300.07858418954066,300.074409722207,300.0700787495396,300.06559722888954,300.06097522319135,300.05622922705766,300.0513854298449,300.0464840234485,300.0415844627493,300.0367712042942,300.03215882210674,300.0278945018506,300.02415484778857,300.0211331308869,300.0190138539901
300.0203928172446,300.02144471041487,300.02365690127687,300.02687275679233,300.03088956165726,300.03549531442764,300.0404963624393,300.0457309213904,300.05107231849956,300.0564263173169,300.0617257627812,300.0669245786251,300.0719922237273,300.0769090940002,300.0816629809361,300.086246497104,300.0906552931866,300.0948868746834,300.09893984620885,300.1028134455928,300.10650726588204,300.1100210944342,300.1133548223974,300.116508395126,300.1194817856889,300.1222749810441,300.1248879749796,300.1273207645823,300.12957334850654,300.1316457261391,300.13353789720446,300.13524986158023,300.1367816192128,300.1381331700789,300.13930451416843,300.1402956514773,300.14110658200354,300.1417373057465,300.14218782270586,300.14245813288153,300.14254823627346,300.14245813288153,300.1421878227059,300.1417373057466,300.14110658200366,300.1402956514775,300.139304514169,300.1381331700802,300.1367816192159,300.1352498615875,300.133537897221,300.13164572617643,300.1295733485899,300.1273207647662,300.1248879753801,300.122274981905,300.1194817875126,300.1165083989325,300.1133548302186,300.110021110241,300.10650729727905,300.1028135068332,300.0989399634047,300.0948870945271,300.0906556970452,300.08624722291023,300.08166425566566,300.0769112792611,300.0719958753327,300.06693051675927,300.06173514067024,300.05644066061785,300.05109348172,300.045760868524,300.0405366272935,300.03554594640667,300.0309473677537,300.02692883675604,300.0236940204071,300.0214357914399
300.0228266804197,300.02393444847576,300.0262810806427,300.02970412927004,300.033992863165,300.0389254811,300.04429757977545,300.04993650989076,300.0557053253359,300.06150061683456,300.06724744815983,300.0728934449936,300.0784031863147,300.083753438844,300.0889293976019,300.09392188453813,300.09872535780806,300.1033365546134,300.1077535999415,300.1119754410328,300.116001499805,300.1198314655126,300.1234651744789,300.12690254214857,300.13014352564096,300.1331881035894,300.1360362655243,300.13868800639654,300.14114332380774,300.1434022166349,300.1454646843593,300.14733072674437,300.1490003436838,300.1504735351301,300.1517503010626,300.15283064147195,300.1537145563542,300.15440204570797,300.1548931095322,300.1551877478269,300.1552859605918,300.1551877478269,300.1548931095323,300.154402045708,300.1537145563545,300.1528306414725,300.1517503010638,300.1504735351331,300.1490003436903,300.147330726759,300.1454646843916,300.1434022167061,300.14114332396286,300.13868800673015,300.1360362662326,300.133188105073,300.13014352870385,300.12690254837804,300.12346518695034,300.1198314900732,300.1160015473489,300.1119755314299,300.10775376862773,300.1033368633022,300.09872591130204,300.09392285610323,300.088931065561,300.08375623651614,300.07840776541804,300.0729007479813,300.06725877595363,300.0615176626531,300.0557301197351,300.0499711838307,300.0443438021005,300.03898337864894,300.0340592379002,300.0297699726305,300.0263289191089,300.02393667424894
300.02533674475757,300.02649818951767,300.0289747186825,300.0325985034578,300.0371513867402,300.04240243341576,300.04813713803844,300.054172536715,300.06036181069214,300.06659261011464,300.07278229222806,300.0788721330691,300.08482169489173,300.0906039339739,300.0962012570154,300.10160251655753,300.1068008258483,300.11179203268546,300.1165736916218,300.1211443945642,300.1255033481563,300.12965011463785,300.1335844572539,300.1373062503968,300.14081542864164,300.1441119585053,300.1471958231376,300.15006701419384,300.1527255276045,300.1551713614134,300.1574045146935,300.1594249870113,300.1612327781665,300.16282788806774,300.16421031667386,300.1653800639663,300.1663371299373,300.1670815145829,300.1676132179019,300.1679322398934,300.1680385805572,300.1679322398934,300.1676132179019,300.1670815145831,300.1663371299377,300.16538006396746,300.1642103166764,300.1628278880734,300.1612327781791,300.1594249870389,300.1574045147536,300.1551713615426,300.15272552787945,300.1500670147716,300.147195824335,300.1441119609526,300.1408154335726,300.1373062601836,300.13358447637614,300.1296501513952,300.12550341762227,300.1211445235456,300.1165739267523,300.11179245322694,300.10680156325236,300.10160378322263,300.09620338669555,300.0906074355144,300.0848273186526,300.0788809444494,300.07279573750344,300.06661254406686,300.0603904303014,300.05421212764986,300.0481894913544,300.0424677429359,300.03722644473334,300.03267419704406,300.02903335082385,300.02651164833617
300.02791882075365,300.0291319574574,300.03173416410255,300.0355526182946,300.0403622630767,300.04592363110754,300.0520127101003,300.05843673988574,300.0650394220108,300.0716997125049,300.07832736635504,300.08485729522005,300.0912439443502,300.09745630917035,300.10347383863467,300.1092832507686,300.11487616776947,300.12024742777777,300.12539392169504,300.13031381743525,300.1350060580229,300.1394700459906,300.1437054501966,300.14771209055283,300.1514898708888,300.1550387407384,300.1583586740598,300.16144965762965,300.16431168483604,300.1669447524212,300.1693488588028,300.1715240032222,300.1734701853208,300.1751874049308,300.1766756619748,300.17793495641746,300.17896528824286,300.17976665744385,300.1803390640172,300.18068250796154,300.1807969892764,300.18068250796165,300.18033906401746,300.1797666574444,300.17896528824394,300.1779349564199,300.1766756619798,300.1751874049416,300.1734701853442,300.17152400327245,300.1693488589096,300.1669447526461,300.16431168530363,300.16144965858945,300.15835867600384,300.1550387446219,300.1514898785355,300.14771210538527,300.1437054785231,300.1394700992212,300.1350061563926,300.1303139960962,300.12539424040784,300.12024798585975,300.114877126381,300.10928486488973,300.1034765009373,300.09746060698023,300.09125072832313,300.0848677531855,300.0783430864707,300.0717227042366,300.0650720386372,300.0584814093905,300.05207133293874,300.0459964574144,300.0404460697181,300.035638190028,300.03180359170636,300.0291566482399
300.03056935110743,300.0318323785161,300.03455634292834,300.03856377258796,300.0436231823263,300.0494871163267,300.0559226016253,300.06272756762434,300.0697366169863,300.0768202651392,300.0838807905891,300.09084675537156,300.0976674185281,300.10430769191373,300.1107439187081,300.1169605314992,300.1229475228665,300.12869860346683,300.13420990633296,300.1394791038615,300.1445048235719,300.1492862721487,300.15382299980047,300.15811475621274,300.1621614045644,300.165962871354,300.1695191177495,300.1728301235619,300.17589587845555,300.1787163772172,300.1812916172539,300.1836215972943,300.1857063167224,300.18754577524385,300.18913997271966,300.1904889090849,300.1915925843095,300.1924509983799,300.19306415128983,300.1934320430365,300.19355467361885,300.1934320430366,300.19306415129006,300.1924509983807,300.1915925843114,300.1904889090891,300.18913997272875,300.18754577526335,300.18570631676397,300.18362159738194,300.1812916174366,300.1787163775933,300.1758958792208,300.17283012509876,300.16951912079526,300.16596287730744,300.1621614160351,300.15811477798724,300.153823040503,300.1492863470316,300.1445049590905,300.13947934498344,300.13421032789273,300.12869932727733,300.1229487426559,300.11696254789786,300.1107471862027,300.10431287847143,300.0976754758153,300.0908589921611,300.08389893259994,300.0768464690714,300.0697733820927,300.06277745196047,300.05598760255475,300.0495675297786,300.0437157636841,300.0386592048101,300.0346365137508,300.0318682346611
