Theta 0,Theta 1,Theta 2,Theta 3,Theta 4,Theta 5,Theta 6,Theta 7,Theta 8,Theta 9,Theta 10,Theta 11,Theta 12,Theta 13,Theta 14,Theta 15,Theta 16,Theta 17,Theta 18,Theta 19,Theta 20,Theta 21,Theta 22,Theta 23,Theta 24,Theta 25,Theta 26,Theta 27,Theta 28,Theta 29,Theta 30,Theta 31,Theta 32,Theta 33,Theta 34,Theta 35,Theta 36,Theta 37,Theta 38,Theta 39,Theta 40,Theta 41,Theta 42,Theta 43,Theta 44,Theta 45,Theta 46,Theta 47,Theta 48,Theta 49,Theta 50,Theta 51,Theta 52,Theta 53,Theta 54,Theta 55,Theta 56,Theta 57,Theta 58,Theta 59,Theta 60,Theta 61,Theta 62,Theta 63,Theta 64,Theta 65,Theta 66,Theta 67,Theta 68,Theta 69,Theta 70,Theta 71,Theta 72,Theta 73,Theta 74,Theta 75,Theta 76,Theta 77,Theta 78,Theta 79
300.00009312835255,300.000101181287,300.00010274128886,300.00010304349,300.000103102032,300.00010311337263,300.0001031155695,300.0001031159951,300.0001031160775,300.0001031160935,300.0001031160966,300.0001031160972,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160973,300.0001031160972,300.00010311609657,300.0001031160935,300.0001031160775,300.00010311599505,300.00010311556946,300.0001031133726,300.00010310203197,300.00010304349,300.00010274128886,300.000101181287,300.00009312835255
300.00071910072273,300.00078563481725,300.0008234238348,300.00083733163916,300.00084180011135,300.00084315171534,300.0008435487204,300.0008436637517,300.0008436969214,300.0008437064894,300.0008437092587,300.00084371006426,300.0008437103,300.0008437103694,300.0008437103899,300.00084371039605,300.0008437103979,300.0008437103985,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.00084371039867,300.0008437103985,300.0008437103979,300.00084371039605,300.0008437103899,300.0008437103694,300.0008437103,300.00084371006426,300.00084370925873,300.00084370648943,300.0008436969214,300.00084366375177,300.0008435487205,300.00084315171546,300.0008418001115,300.0008373316392,300.00082342383485,300.0007856348173,300.00071910072273
300.0026961524788,300.00295269284,300.0031059788697,300.0031884310802,300.00322499544484,300.0032393240733,300.0032445190845,300.0032463096333,300.0032469061747,300.0032471003567,300.00324716255926,300.0032471822643,300.003247188459,300.0032471903963,300.0032471909999,300.0032471911876,300.003247191246,300.003247191264,300.0032471912695,300.0032471912714,300.0032471912719,300.00324719127207,300.00324719127224,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912723,300.0032471912722,300.00324719127195,300.0032471912713,300.0032471912695,300.003247191264,300.0032471912459,300.00324719118765,300.00324719099996,300.0032471903963,300.003247188459,300.0032471822644,300.00324716255926,300.0032471003568,300.0032469061747,300.00324630963325,300.00324451908443,300.0032393240734,300.0032249954449,300.0031884310803,300.0031059788697,300.00295269284,300.0026961524788
300.00670566055766,300.00726968804753,300.00763960630195,300.00785784196154,300.00797470717066,300.00803051905245,300.00805474823056,300.00806453006453,300.0080682700685,300.00806964257,300.00807013074984,300.00807030025516,300.0080703580165,300.0080703774112,300.0080703838478,300.00807038596406,300.00807038665465,300.00807038687867,300.0080703869509,300.0080703869742,300.0080703869817,300.008070386984,300.00807038698474,300.00807038698497,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.008070386985,300.00807038698497,300.0080703869848,300.008070386984,300.0080703869817,300.0080703869742,300.008070386951,300.00807038687867,300.00807038665465,300.008070385964,300.0080703838478,300.0080703774112,300.00807035801637,300.00807030025504,300.0080701307498,300.00806964257004,300.0080682700687,300.00806453006464,300.00805474823073,300.0080305190527,300.0079747071709,300.00785784196177,300.0076396063021,300.00726968804764,300.0067056605577
300.0127983177529,300.01369745490314,300.0143165524639,300.01471003288356,300.01494021063183,300.01506434965404,300.0151259790257,300.0151543705241,300.0151666521552,300.0151716985769,300.0151736874579,300.01517444526064,300.0151747261575,300.015174827955,300.01517486416594,300.015174876849,300.0151748812342,300.015174882734,300.01517488324225,300.01517488341324,300.0151748834703,300.01517488348924,300.0151748834955,300.0151748834976,300.0151748834983,300.01517488349845,300.01517488349845,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.01517488349856,300.0151748834985,300.01517488349845,300.0151748834983,300.0151748834976,300.01517488349555,300.0151748834893,300.0151748834703,300.0151748834133,300.0151748832423,300.0151748827341,300.01517488123426,300.0151748768491,300.0151748641659,300.015174827955,300.0151747261575,300.0151744452607,300.0151736874579,300.0151716985771,300.01516665215524,300.01515437052416,300.0151259790258,300.01506434965415,300.01494021063183,300.0147100328836,300.014316552464,300.0136974549032,300.0127983177529
300.0206000330597,300.02178620122163,300.02263424051296,300.023199308276,300.0235516429836,300.0237567776778,300.023868370821,300.0239251906553,300.02395240455115,300.0239647518651,300.0239700987083,300.02397232404036,300.02397321963724,300.0239735699808,300.0239737037677,300.0239737538204,300.0239737722208,300.02397377888394,300.02397378126557,300.0239737821073,300.0239737824019,300.0239737825041,300.02397378253926,300.0239737825513,300.0239737825554,300.02397378255677,300.0239737825572,300.0239737825574,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.02397378255745,300.0239737825574,300.0239737825573,300.0239737825568,300.0239737825555,300.0239737825514,300.0239737825394,300.02397378250413,300.02397378240187,300.02397378210725,300.0239737812655,300.02397377888377,300.02397377222064,300.0239737538204,300.02397370376775,300.0239735699809,300.0239732196372,300.02397232404036,300.0239700987082,300.0239647518651,300.0239524045512,300.0239251906554,300.0238683708211,300.023756777678,300.02355164298365,300.0231993082761,300.02263424051307,300.0217862012218,300.02060003305974
300.0297121235639,300.0311297155769,300.0321730270211,300.0328944687094,300.0333655487133,300.03365586904806,300.03382460533606,300.03391717576795,300.03396521632027,300.03398888678555,300.0340000126574,300.03400502729875,300.0340072056682,300.0340081219828,300.0340084967744,300.034008646379,300.03400870484035,300.0340087272651,300.03400873572787,300.03400873887614,300.03400874003256,300.03400874045263,300.0340087406037,300.0340087406576,300.03400874067665,300.03400874068336,300.03400874068564,300.0340087406864,300.0340087406867,300.0340087406868,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.03400874068683,300.0340087406868,300.0340087406867,300.03400874068643,300.0340087406856,300.03400874068325,300.03400874067665,300.03400874065767,300.0340087406037,300.03400874045263,300.0340087400326,300.0340087388762,300.03400873572787,300.03400872726513,300.0340087048404,300.034008646379,300.0340084967744,300.03400812198277,300.0340072056683,300.03400502729886,300.0340000126575,300.0339888867858,300.03396521632044,300.0339171757681,300.0338246053362,300.03365586904823,300.03336554871345,300.03289446870957,300.03217302702114,300.0311297155769,300.02971212356397
300.0398196743043,300.0414216744421,300.04262905694407,300.0434888859738,300.04407120431887,300.0444461061394,300.044675424804,300.0448087024345,300.0448823822234,300.04492120517654,300.04494075848726,300.0449502046847,300.0449545985507,300.0449565739199,300.04495743539803,300.0449578010712,300.0449579526044,300.04495801407313,300.04495803853894,300.0449580481134,300.0449580518042,300.04495805320784,300.0449580537351,300.04495805393105,300.0449580540031,300.0449580540294,300.04495805403894,300.04495805404235,300.0449580540436,300.04495805404406,300.0449580540441,300.0449580540442,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.04495805404423,300.0449580540442,300.04495805404395,300.0449580540436,300.04495805404235,300.04495805403894,300.04495805402945,300.04495805400325,300.04495805393117,300.0449580537352,300.0449580532078,300.0449580518042,300.0449580481134,300.0449580385389,300.04495801407313,300.0449579526044,300.0449578010711,300.04495743539803,300.04495657392,300.0449545985508,300.0449502046847,300.0449407584872,300.04492120517665,300.0448823822234,300.04480870243464,300.0446754248041,300.0444461061395,300.044071204319,300.04348888597394,300.0426290569442,300.04142167444223,300.0398196743043
300.0506744734128,300.05242151295135,300.0537642339792,300.0547438705662,300.0554271519734,300.0558827511072,300.05617298898443,300.05634961784034,300.05645235285493,300.05650953105516,300.0565400360754,300.0565556726986,300.05656339444175,300.0565670787155,300.05656878220145,300.05656954767136,300.05656988287086,300.056570026273,300.05657008634586,300.0565701110383,300.05657012101557,300.056570124985,300.05657012654217,300.05657012714533,300.0565701273763,300.0565701274637,300.05657012749646,300.0565701275087,300.0565701275133,300.0565701275149,300.0565701275154,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.05657012751567,300.0565701275155,300.0565701275149,300.05657012751317,300.0565701275087,300.0565701274965,300.0565701274637,300.0565701273763,300.05657012714533,300.05657012654217,300.056570124985,300.0565701210156,300.0565701110383,300.05657008634586,300.056570026273,300.0565698828708,300.0565695476714,300.05656878220145,300.05656707871555,300.0565633944418,300.0565556726987,300.05654003607555,300.0565095310554,300.0564523528551,300.05634961784057,300.0561729889846,300.0558827511074,300.05542715197356,300.0547438705663,300.0537642339794,300.0524215129515,300.05067447341287
300.06209163040205,300.06395314794787,300.06540767046636,300.06649059975064,300.06726464605697,300.067795878917,300.06814576947323,300.06836687633194,300.06850096252674,300.06857904810613,300.0686227657989,300.0686463336302,300.06865859065357,300.06866475363677,300.0686677565347,300.0686691777467,300.06866983261926,300.0686701270646,300.0686702565183,300.0686703122793,300.0686703358532,300.0686703456506,300.06867034965944,300.0686703512764,300.06867035192016,300.0686703521734,300.06867035227185,300.0686703523097,300.0686703523242,300.0686703523297,300.0686703523317,300.0686703523325,300.06867035233284,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.06867035233296,300.0686703523329,300.0686703523328,300.06867035233245,300.06867035233176,300.0686703523298,300.06867035232426,300.0686703523098,300.06867035227197,300.06867035217346,300.0686703519202,300.06867035127647,300.06867034965944,300.0686703456505,300.0686703358532,300.06867031227944,300.0686702565183,300.06867012706465,300.0686698326194,300.0686691777467,300.0686677565347,300.0686647536368,300.06865859065374,300.06864633363034,300.0686227657991,300.0685790481063,300.0685009625269,300.0683668763321,300.06814576947346,300.0677958789172,300.06726464605714,300.0664905997508,300.06540767046647,300.06395314794787,300.0620916304021
